cdc_origine,cdc_destinazione,driver,quota
S1-AUX-001,S1-PRD-031,ore_intervento,0.1898
S1-AUX-001,S1-PRD-015,ore_intervento,0.3207
S1-AUX-001,S1-PRD-013,ore_intervento,0.3348
S1-AUX-001,S1-PRD-030,ore_intervento,0.1547
S1-AUX-002,S1-PRD-043,ore_intervento,0.2181
S1-AUX-002,S1-PRD-013,ore_intervento,0.1435
S1-AUX-002,S1-PRD-026,ore_intervento,0.3944
S1-AUX-002,S1-PRD-022,ore_intervento,0.2440
S1-AUX-003,S1-PRD-033,ore_intervento,0.2348
S1-AUX-003,S1-PRD-026,ore_intervento,0.1275
S1-AUX-003,S1-PRD-044,ore_intervento,0.4276
S1-AUX-003,S1-PRD-035,ore_intervento,0.2101
S1-AUX-004,S1-PRD-038,n_movimentazioni,0.2658
S1-AUX-004,S1-PRD-017,n_movimentazioni,0.1941
S1-AUX-004,S1-PRD-003,n_movimentazioni,0.3201
S1-AUX-004,S1-PRD-007,n_movimentazioni,0.2200
S1-AUX-005,S1-PRD-033,n_movimentazioni,0.2074
S1-AUX-005,S1-PRD-008,n_movimentazioni,0.1497
S1-AUX-005,S1-PRD-025,n_movimentazioni,0.3049
S1-AUX-005,S1-PRD-037,n_movimentazioni,0.3380
S1-AUX-006,S1-PRD-035,n_movimentazioni,0.2526
S1-AUX-006,S1-PRD-044,n_movimentazioni,0.1460
S1-AUX-006,S1-PRD-043,n_movimentazioni,0.3612
S1-AUX-006,S1-PRD-013,n_movimentazioni,0.2402
S1-AUX-007,S1-PRD-021,ore_produzione,0.2380
S1-AUX-007,S1-PRD-043,ore_produzione,0.2833
S1-AUX-007,S1-PRD-008,ore_produzione,0.1868
S1-AUX-007,S1-PRD-020,ore_produzione,0.2919
S1-AUX-008,S1-PRD-036,ore_produzione,0.3025
S1-AUX-008,S1-PRD-009,ore_produzione,0.2159
S1-AUX-008,S1-PRD-013,ore_produzione,0.3278
S1-AUX-008,S1-PRD-027,ore_produzione,0.1538
S1-AUX-009,S1-PRD-037,ore_produzione,0.3366
S1-AUX-009,S1-PRD-020,ore_produzione,0.1838
S1-AUX-009,S1-PRD-026,ore_produzione,0.1568
S1-AUX-009,S1-PRD-036,ore_produzione,0.3228
S1-AUX-010,S1-PRD-039,ore_produzione,0.2064
S1-AUX-010,S1-PRD-042,ore_produzione,0.2687
S1-AUX-010,S1-PRD-021,ore_produzione,0.2249
S1-AUX-010,S1-PRD-030,ore_produzione,0.3000
S1-AUX-011,S1-PRD-011,consumo_kwh,0.2335
S1-AUX-011,S1-PRD-043,consumo_kwh,0.2658
S1-AUX-011,S1-PRD-006,consumo_kwh,0.1839
S1-AUX-011,S1-PRD-019,consumo_kwh,0.3168
S1-AUX-012,S1-PRD-016,headcount,0.3436
S1-AUX-012,S1-PRD-044,headcount,0.1449
S1-AUX-012,S1-PRD-020,headcount,0.1144
S1-AUX-012,S1-PRD-015,headcount,0.3971
S1-AUX-013,S1-PRD-040,headcount,0.3129
S1-AUX-013,S1-PRD-005,headcount,0.2332
S1-AUX-013,S1-PRD-030,headcount,0.2698
S1-AUX-013,S1-PRD-027,headcount,0.1841
S1-AUX-014,S1-PRD-026,headcount,0.2191
S1-AUX-014,S1-PRD-016,headcount,0.2631
S1-AUX-014,S1-PRD-010,headcount,0.2562
S1-AUX-014,S1-PRD-042,headcount,0.2616
S1-STR-001,S1-PRD-028,costi_diretti,0.3837
S1-STR-001,S1-PRD-015,costi_diretti,0.3472
S1-STR-001,S1-PRD-012,costi_diretti,0.2691
S1-STR-002,S1-PRD-036,costi_diretti,0.2700
S1-STR-002,S1-PRD-016,costi_diretti,0.3879
S1-STR-002,S1-PRD-008,costi_diretti,0.3421
S1-STR-003,S1-PRD-036,headcount,0.3715
S1-STR-003,S1-PRD-039,headcount,0.3546
S1-STR-003,S1-PRD-021,headcount,0.2739
S1-STR-004,S1-PRD-033,headcount,0.3159
S1-STR-004,S1-PRD-028,headcount,0.1997
S1-STR-004,S1-PRD-036,headcount,0.4844
S1-STR-005,S1-PRD-029,headcount,0.4053
S1-STR-005,S1-PRD-017,headcount,0.2109
S1-STR-005,S1-PRD-016,headcount,0.3838
S1-STR-006,S1-PRD-032,mq_occupati,0.3712
S1-STR-006,S1-PRD-041,mq_occupati,0.2508
S1-STR-006,S1-PRD-016,mq_occupati,0.3780
S1-STR-007,S1-PRD-018,headcount,0.5773
S1-STR-007,S1-PRD-022,headcount,0.1948
S1-STR-007,S1-PRD-021,headcount,0.2279
S2-AUX-001,S2-PRD-025,ore_intervento,0.2870
S2-AUX-001,S2-PRD-010,ore_intervento,0.2548
S2-AUX-001,S2-PRD-014,ore_intervento,0.3065
S2-AUX-001,S2-PRD-005,ore_intervento,0.1517
S2-AUX-002,S2-PRD-027,ore_intervento,0.3561
S2-AUX-002,S2-PRD-025,ore_intervento,0.3288
S2-AUX-002,S2-PRD-038,ore_intervento,0.2136
S2-AUX-002,S2-PRD-002,ore_intervento,0.1015
S2-AUX-003,S2-PRD-023,ore_intervento,0.2025
S2-AUX-003,S2-PRD-020,ore_intervento,0.2481
S2-AUX-003,S2-PRD-025,ore_intervento,0.2633
S2-AUX-003,S2-PRD-027,ore_intervento,0.2861
S2-AUX-004,S2-PRD-032,n_movimentazioni,0.2229
S2-AUX-004,S2-PRD-015,n_movimentazioni,0.1965
S2-AUX-004,S2-PRD-018,n_movimentazioni,0.2727
S2-AUX-004,S2-PRD-028,n_movimentazioni,0.3079
S2-AUX-005,S2-PRD-011,n_movimentazioni,0.1536
S2-AUX-005,S2-PRD-030,n_movimentazioni,0.3101
S2-AUX-005,S2-PRD-009,n_movimentazioni,0.3827
S2-AUX-005,S2-PRD-035,n_movimentazioni,0.1536
S2-AUX-006,S2-PRD-028,n_movimentazioni,0.1667
S2-AUX-006,S2-PRD-009,n_movimentazioni,0.3096
S2-AUX-006,S2-PRD-030,n_movimentazioni,0.2368
S2-AUX-006,S2-PRD-012,n_movimentazioni,0.2869
S2-AUX-007,S2-PRD-025,ore_produzione,0.3396
S2-AUX-007,S2-PRD-018,ore_produzione,0.2336
S2-AUX-007,S2-PRD-027,ore_produzione,0.3147
S2-AUX-007,S2-PRD-017,ore_produzione,0.1121
S2-AUX-008,S2-PRD-023,ore_produzione,0.3339
S2-AUX-008,S2-PRD-015,ore_produzione,0.3939
S2-AUX-008,S2-PRD-005,ore_produzione,0.1636
S2-AUX-008,S2-PRD-003,ore_produzione,0.1086
